Year,Gruppierung,Value
2014,Wirtschaft,1685.37
2014,Private Haushalte,1022.22
2014,Verkehr,785.83
2014,Kommunale Einrichtung,77.75
2015,Wirtschaft,1733.79
2015,Private Haushalte,1042.16
2015,Verkehr,783.28
2015,Kommunale Einrichtung,74.68
2016,Wirtschaft,1732.33
2016,Private Haushalte,1031.84
2016,Verkehr,793.32
2016,Kommunale Einrichtung,75.11
2017,Wirtschaft,1758.39
2017,Private Haushalte,1050.94
2017,Verkehr,801.24
2017,Kommunale Einrichtung,69.89
2018,Wirtschaft,1699.03
2018,Private Haushalte,1024.25
2018,Verkehr,798.10
2018,Kommunale Einrichtung,71.89
2019,Wirtschaft,1664.23
2019,Private Haushalte,1006.35
2019,Verkehr,805.12
2019,Kommunale Einrichtung,72.52
2020,Wirtschaft,1740.62
2020,Private Haushalte,999.87
2020,Verkehr,722.12
2020,Kommunale Einrichtung,66.51
2021,Wirtschaft,1760.33
2021,Private Haushalte,1079.59
2021,Verkehr,725.66
2021,Kommunale Einrichtung,71.42
2022,Wirtschaft,1436,90
2022,Private Haushalte,975.96
2022,Verkehr,741.25
2022,Kommunale Einrichtung,66.01
