Year,Gruppierung,Value
2014,Wirtschaft,647.53
2014,Private Haushalte,332.7
2014,Verkehr,249.62
2014,Kommunale Einrichtung,25.47
2015,Wirtschaft,651.74
2015,Private Haushalte,333.34
2015,Verkehr,251.86
2015,Kommunale Einrichtung,24.20
2016,Wirtschaft,636.41
2016,Private Haushalte,321.22
2016,Verkehr,254.57
2016,Kommunale Einrichtung,23.75
2017,Wirtschaft,618.10
2017,Private Haushalte,317.97
2017,Verkehr,256.79
2017,Kommunale Einrichtung,21.78
2018,Wirtschaft,595.87
2018,Private Haushalte,311.74
2018,Verkehr,254.51
2018,Kommunale Einrichtung,22.40
2019,Wirtschaft,549.66
2019,Private Haushalte,292.32
2019,Verkehr,255.51
2019,Kommunale Einrichtung,21.15
2020,Wirtschaft,540.61
2020,Private Haushalte,281.61
2020,Verkehr,226.17
2020,Kommunale Einrichtung,18.35
2021,Wirtschaft,569.12
2021,Private Haushalte,302.05
2021,Verkehr,229.16
2021,Kommunale Einrichtung,18.20
2022,Wirtschaft,508.05
2022,Private Haushalte,288.79
2022,Verkehr,253.57
2022,Kommunale Einrichtung,18.25
