Year,Gruppierung,Value
Kinderarmut,32,3
Jugendarmut,26,26
Altersarmut,4,24
Kinderarmut,31,17
Jugendarmut,25,98
Altersarmut,4,27
Kinderarmut,30,9
Jugendarmut,26,58
Altersarmut,4,63
Kinderarmut,29,74
Jugendarmut,27,22
Altersarmut,5,14
