Year,Gruppierung,Value
2018,Duale Ausbildung,20.6
2018,Schulberufssystem,9.1
2018,Übergangssystem,48.7
2018,Erwerb Hochschulzugangsberechtigung,17.7
2018,Berufliche Fortbildung,3.9
2019,Duale Ausbildung,22.6
2019,Schulberufssystem,8.7
2019,Übergangssystem,46.3
2019,Erwerb Hochschulzugangsberechtigung,19.7
2019,Berufliche Fortbildung,2.7
2020,Duale Ausbildung,20.6
2020,Schulberufssystem,8.1
2020,Übergangssystem,48.5
2020,Erwerb Hochschulzugangsberechtigung,19.2
2020,Berufliche Fortbildung,3.5
2021,Duale Ausbildung,20.4
2021,Schulberufssystem,8.6
2021,Übergangssystem,48.6
2021,Erwerb Hochschulzugangsberechtigung,19.3
2021,Berufliche Fortbildung,3.1
2022,Duale Ausbildung,22.7
2022,Schulberufssystem,9.0
2022,Übergangssystem,48.4
2022,Erwerb Hochschulzugangsberechtigung,16.8
2022,Berufliche Fortbildung,3.2
2023,Duale Ausbildung,21.9
2023,Schulberufssystem,8.5
2023,Übergangssystem,49.4
2023,Erwerb Hochschulzugangsberechtigung,17.5
2023,Berufliche Fortbildung,2.8
