Year,Gruppierung,Value
2016,Gymnasium,36.9
2016,Realschule,30.6
2016,Gesamtschule,30.7
2016,Hauptschule,1.8
2017,Gymnasium,36.0
2017,Realschule,30.6
2017,Gesamtschule,30.4
2017,Hauptschule,3.1
2018,Gymnasium,37.8
2018,Realschule,29.7
2018,Gesamtschule,30.4
2018,Hauptschule,2.1
2019,Gymnasium,37.6
2019,Realschule,27.9
2019,Gesamtschule,30.6
2019,Hauptschule,3.9
2020,Gymnasium,35.3
2020,Realschule,30.9
2020,Gesamtschule,30.9
2020,Hauptschule,2.8
2021,Gymnasium,33.2
2021,Realschule,30.8
2021,Gesamtschule,31.4
2021,Hauptschule,4.5
2022,Gymnasium,38.2
2022,Realschule,29.7
2022,Gesamtschule,28.3
2022,Hauptschule,2.5
2023,Gymnasium,37.6
2023,Realschule,31.6
2023,Gesamtschule,28.3
2023,Hauptschule,2.6
